hf22_tgwt,cond_sur,cond_lcr,cond_mcr,cond_uma,cond_man,geop_mag,geop_grv,geop_dtb,eqi200n5,eqd200n5,geod_shr,geod_dil,geod_2nd,vent_ing,dTrend005,dTrend03,dTrend01,hfqc_tRise,fault01,fault02,fault03,fault04,fault05,fault06,fault07,fault08,faultAl,hfqc_resid
77.2718964,2.6612799,4.6711102,3.1613801,4.0185599,4.3324099,-253.9640045,-1.44569,955.6489868,1824.199951,1381.900024,8.5,11.6999998,22.0,63287.0,-164.0249939,-200.9029999,-162.5140076,0.0213192,58057.10156,16632.0,4472.140137,4472.140137,4472.140137,4472.140137,4472.140137,4472.140137,4472.140137,43.44319913
85.4229965,3.5485899,3.6595299,3.3353701,3.55142,4.1199098,-10.0100002,-15.1837997,992.117981,1424.0,250.1000061,16.8999996,-2.4000001,26.0,18456.0,-87.1103973,-197.6080017,-107.1539993,0.0223551,3288.23999,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,207.3953054
87.4459991,3.3974199,3.7265601,2.56725,3.6452401,4.1437602,155.5570068,-13.5857,832.3670044,2157.0,212.3999939,33.0999985,0.6,47.2000008,32243.19922,-200.451004,-277.5029907,-214.5599976,0.0245414,1346.290039,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,353.553009,8.763661785
86.8405991,2.86568,4.0016799,2.9135101,4.0833902,4.2569098,-152.2960052,-7.5044599,131.2579956,383.3999939,286.6000061,17.0,0.7,24.5,12064.90039,-346.9159851,-429.7510071,-377.4039917,0.0060794,65443.19922,20814.69922,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,2015.560059,129.8602449
77.8339005,3.1096699,4.0313401,2.90412,3.95912,4.2172399,2.68806,-15.1610003,294.243988,1419.400024,1359.699951,1.5,2.9000001,4.6999998,8663.860352,8.7360802,53.8400993,2.7758801,0.0068881,358295.0,20001.59961,8620.469727,8620.469727,8620.469727,3691.209961,3691.209961,3691.209961,3691.209961,9.166597175
89.2809982,3.3006999,3.57177,2.7217901,3.61272,4.15028,61.4650993,-5.2869401,346.6640015,934.5,144.3999939,17.8999996,-7.0999999,31.2000008,13209.7998,-77.1635971,-216.6799927,-123.6090012,0.0145354,9823.44043,5099.02002,5099.02002,5099.02002,3816.080078,3816.080078,3816.080078,3816.080078,3816.080078,35.71029888
92.2061005,2.9219401,3.86971,3.1696701,3.7832501,4.1788001,157.3880005,14.3092003,262.0,274.2000122,0.0,0.2,2.5,2.8,110360.0,-17.5090008,-84.9707031,-13.7610998,0.0183256,104434.0,27056.69922,10752.90039,10752.90039,1030.780029,1030.780029,1030.780029,1030.780029,1030.780029,12.09916032
83.2167969,3.3592899,4.5610399,4.69382,3.6553099,4.1987,-171.8049927,-0.383974,98.0569992,208.3999939,495.0,6.0999999,6.9000001,14.3999996,72347.20313,-222.2429962,-209.4100037,-231.7879944,0.0214715,53132.5,9303.900391,7850.160156,7850.160156,2358.5,2358.5,2358.5,2358.5,2358.5,-37.34790384
86.7994995,2.7867701,4.9123502,3.44999,3.95889,4.2674899,-253.4080048,-20.7534008,196.2489929,4549.299805,4530.299805,34.2000008,2.5999999,49.9000015,10819.5,-390.552002,-362.7929993,-401.1419983,0.016455,25491.40039,1903.939941,1903.939941,1903.939941,250.0,250.0,250.0,250.0,250.0,611.6012236
82.5379028,2.78356,3.9830201,3.95894,3.5552399,4.1667099,7.8343501,-18.3477993,560.1740112,190.1999969,0.0,4.5999999,5.5999999,11.3000002,86458.39844,-200.7220001,-133.9080048,-177.4960022,0.0136199,61832.39844,16854.19922,4007.800049,4007.800049,2121.320068,2121.320068,2121.320068,2121.320068,2121.320068,-11.54075777
